Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
AON,Aon,Financials,Insurance Brokers,1996-04-23,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1995-03-16,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,2012-12-24,
ACGL,Arch Capital Group,Financials,Reinsurance,2022-11-01,
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,
T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30,
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,
ADSK,Autodesk,Information Technology,Application Software,1989-12-01,
AZO,AutoZone,Consumer Discretionary,Specialty Stores,1997-01-02,
AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,2023-05-04,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1984-10-31,
BAC,Bank of America,Financials,Diversified Banks,1976-06-30,
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,1983-09-30,
BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30,
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,
WRB,Berkley,Financials,Property & Casualty Insurance,2019-12-05,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020-06-22,
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,
